Compartment	Contrast	Time	Age	OTU_ID	baseMean	estimate	stderror	statistic	p.value	p.adjusted
RS	WC_vs_D1	1	10	141531	5.61379335438027	0.68447604530896	1.01778710936234	4.43742446734576	9.10416530098721e-06	0.00347550706110302
RS	WC_vs_D1	1	10	178178	134.046809928318	-5.58079711922922	0.96152382644164	-6.32297328879769	2.56577667453241e-10	3.38041076869645e-07
RS	WC_vs_D1	1	10	882681	3.29112088030966	3.62001202295086	0.851236427051645	3.91177968598686	9.1618472863308e-05	0.0248082906974337
RS	WC_vs_D1	1	10	209202	3.48486297472155	-2.45366384417064	0.904796779331215	-5.7168479618157	1.08518128211467e-08	1.00203042575434e-05
RS	WC_vs_D2	1	10	697479	2.54839923236599	0.456939707719435	0.889745636916518	5.03756066710772	4.71502140407465e-07	0.000296155428714654
RS	WC_vs_D2	1	10	178178	134.046809928318	-4.44220195455078	0.961673389672491	-5.08277529975843	3.71959630512771e-07	0.000240626698697289
RS	WC_vs_D2	1	10	2565173	25.6820515964544	-2.09558422985763	0.562307424440635	-3.68961902843753	0.000224590129404682	0.0495175400617038
RS	WC_vs_D2	1	10	209202	3.48486297472155	-2.93318857958442	0.905054235124408	-5.67034122282423	1.42513392171174e-08	1.26200281337809e-05
RS	WC_vs_D2	1	10	324366	4.69942022264822	-0.39525481599241	1.01128054971169	-9.84047752678229	7.53523236062461e-23	3.25627531232032e-19
RS	WC_vs_D2	1	10	1078248	1.65338182618898	0.510772057284865	1.00492211623375	6.06580345653	1.31295613183965e-09	1.52521737315372e-06
RS	WC_vs_D2	1	10	730204	1.32372807819189	-1.19485767608049	0.809398330712172	-5.39177930825244	6.97634162973297e-08	5.38349334263001e-05
RS	WC_vs_D3	1	10	178178	134.046809928318	-3.78225941803125	0.961755758743792	-4.55101998604662	5.33864761013546e-06	0.00227071178961018
RS	WC_vs_D3	1	10	588703	36.636986354705	-3.22268123719324	0.675461932743592	-4.52317843876214	6.09178407910781e-06	0.00252155514554181
RS	WC_vs_D3	1	10	815406	5.91880749340084	0.41787560928935	1.02263171616957	4.76646656640303	1.87484824029269e-06	0.00094742208252756
RS	WC_vs_D3	1	10	209202	3.48486297472155	-3.07862635525889	0.905491031135586	-5.74766290284015	9.0485407731957e-09	8.72820627171605e-06
RS	WC_vs_D3	1	10	249472	23.5076118001536	3.10525397918255	0.775214706438375	3.94518964082125	7.97368477791247e-05	0.0223749879216045
RS	WC_vs_D3	1	10	730204	1.32372807819189	-0.120629182541308	0.804467929114427	-3.97146639963259	7.14315767884717e-05	0.0205242297828259
RS	WC_vs_D3	1	10	788334	17.5497638186501	-2.75910749307849	0.714480579383318	-3.73635487185764	0.000186707126052243	0.0427349668708773
RS	WC_vs_D1	2	20	237315	5.61806663904381	-0.813604796366506	1.02565205616516	-5.6278824140865	1.82435378864718e-08	1.60239074436178e-05
RS	WC_vs_D1	2	20	369022	79.1387895620796	-2.48098361755742	0.674836981811596	-3.72155635640511	0.000197998663668309	0.0449386252718608
RS	WC_vs_D1	2	20	730204	1.32372807819189	0.116918987300246	0.808052983798021	4.07988424451886	4.50581325888205e-05	0.0139480096109834
RS	WC_vs_D2	2	20	237315	5.61806663904381	-0.719973841715393	1.02559928776283	-5.59855671528573	2.16143692493236e-08	1.88315192084731e-05
RS	WC_vs_D2	2	20	141531	5.61379335438027	1.77117240682009	1.0206132371513	16.7921923604696	2.78369131628616e-63	3.00736091354975e-58
RS	WC_vs_D2	2	20	592970	101.089983193748	-2.203843014221	0.588763157673917	-3.75100520493687	0.00017612704303614	0.0407809990193092
RS	WC_vs_D2	2	20	4480593	13.3814929823907	-2.67932153009551	0.710998513217183	-3.73186041967065	0.000190070816283119	0.0434128977529529
RS	WC_vs_D2	2	20	530796	3.37416394411055	-3.22240188390041	0.832509869256168	-3.71632265544663	0.00020214341052046	0.0454161532782218
RS	WC_vs_D2	2	20	1082846	7.44492872665555	-4.35171817415047	0.756042516818818	-5.52403684295272	3.31297943817631e-08	2.7532133354106e-05
RS	WC_vs_D2	2	20	583051	78.69400371337	-2.08219478240892	0.543130984435357	-3.84367878266864	0.000121203628262516	0.0304517069286998
RS	WC_vs_D2	2	20	590693	37.1097819372587	-2.23344390754401	0.572520142229018	-3.89452281712719	9.83922303784203e-05	0.0261817847510656
RS	WC_vs_D2	2	20	579757	11.7688745672646	-2.87397364769294	0.823359693231899	-3.87583675263371	0.000106258909637916	0.0277986465888454
RS	WC_vs_D2	2	20	148273	54.9119246773426	-2.69940958290558	0.642399225627331	-4.23072279187057	2.32941597798144e-05	0.00793875252937616
RS	WC_vs_D3	2	20	237315	5.61806663904381	-1.80397974794331	1.02512493128793	-7.01200811100969	2.34921581221304e-12	4.78863264664973e-09
RS	WC_vs_D3	2	20	549954	125.694966298585	0.881998182366345	0.234513321774437	3.76310088928747	0.000167819459294687	0.0394138593150032
RS	WC_vs_D3	2	20	4439656	6.53702786836127	-3.96857013978148	0.989614366805076	-3.96714428460931	7.27389603163849e-05	0.0208444391983571
RS	WC_vs_D3	2	20	759624	8.11822409552996	-3.21646621028988	0.7100655653666	-4.41401105343179	1.01472774352988e-05	0.00381972514885891
RS	WC_vs_D3	2	20	1074016	224.464889465067	-3.01957963588343	0.606404612294621	-4.94228604208083	7.72118200894618e-07	0.000448471988352957
RS	WC_vs_D3	2	20	593171	5.61293396731777	-4.6239688804521	0.932110330662323	-4.78791268174975	1.68524939066074e-06	0.000888126428878209
RS	WC_vs_D3	2	20	324366	4.69942022264822	-0.719432984620746	1.01578084683306	-11.6700499421744	1.81316773188613e-31	1.15226809361364e-27
RS	WC_vs_D3	2	20	1052930	38.7708269601728	-4.05738714880765	0.635060743212882	-6.22041841680019	4.95830830271672e-10	6.15713606303449e-07
RS	WC_vs_D1	3	31	141531	5.61379335438027	0.476965142662894	1.01913396241736	16.115735759926	1.97795673527412e-58	1.0684427794767e-53
RS	WC_vs_D1	3	31	818239	5.49603947000099	1.44450012975507	1.01789823060227	8.16772590073802	3.14256918961389e-16	1.09518536258044e-12
RS	WC_vs_D1	3	31	324366	4.69942022264822	0.191651155960488	1.01660141896242	10.5538712589878	4.87463013627973e-26	2.6331533338649e-22
RS	WC_vs_D1	3	31	4366540	1.21127545360075	0.157571826562618	0.713816796666629	4.5106461506127	6.46304540599882e-06	0.00266501950548505
RS	WC_vs_D1	3	31	730204	1.32372807819189	-0.101967746498251	0.810856233134826	-4.37023106489944	1.24115130402679e-05	0.0045299926057613
RS	WC_vs_D2	3	31	1078248	1.65338182618898	1.70340591969305	1.01414730176894	7.64652758453483	2.06479184339592e-14	6.02891315679131e-11
RS	WC_vs_D2	3	31	4366540	1.21127545360075	0.156797148407668	0.713858199142968	4.49590374985629	6.92750701103599e-06	0.00277500804064666
RS	WC_vs_D2	3	31	730204	1.32372807819189	-0.304189968879438	0.811248171721058	-4.78401166966614	1.7183070123136e-06	0.00089730220651022
RS	WC_vs_D3	3	31	324366	4.69942022264822	0.194121504208081	1.01666263278326	10.7771687311327	4.41258852522119e-27	2.5090210595909e-23
RS	WC_vs_D3	3	31	4366540	1.21127545360075	0.157264945264738	0.713854047221638	4.46666674897857	7.94477415131457e-06	0.0031048976979515
RS	WC_vs_D3	3	31	730204	1.32372807819189	-0.0538594659153488	0.810761476042471	-4.19673706814101	2.70787995635711e-05	0.00905714585402602
RS	WC_vs_D3	3	31	1107044	1.32318721185714	-0.196487491846695	0.80004220392852	-5.18143373273299	2.20186816494667e-07	0.000149609325283027
RS	WC_vs_D1	4	41	588703	36.636986354705	2.37618118839591	0.570940750101815	4.12938037999955	3.63742188828985e-05	0.0116607974392105
RS	WC_vs_D1	4	41	1021984	17.4025587414289	2.71072725581498	0.575310459279747	4.66699018329414	3.05643926887298e-06	0.00142944769009823
RS	WC_vs_D1	4	41	324366	4.69942022264822	-1.16542185679016	1.01655634021057	-11.9995770221139	3.57116783999933e-33	3.2150926466194e-29
