term	sumsq	meansq	NumDF	DenDF	statistic	p.value
Treatment	0.0671210130582241	0.022373671019408	3	153.000000069968	35.2642318609465	2.20912359755917e-17
TimeFctr	0.39769869825467	0.0331415581878892	12	152.999999993661	52.2360229198408	7.0102566194696e-48
Treatment:TimeFctr	0.0590348014263097	0.00163985559517527	36	153.000000013703	2.58465621830982	3.18028851708668e-05
