term	sumsq	meansq	NumDF	DenDF	statistic	p.value
Treatment	16170.0407255303	5390.01357517678	3	204.999999173769	50.9967118388372	1.14965812417779e-24
TimeFctr	173295.696316793	14441.3080263994	12	204.999998555646	136.634020253655	9.62254086698622e-91
Treatment:TimeFctr	15031.5357351106	417.542659308627	36	204.999998709276	3.9505100275161	2.05650430376322e-10
