Compartment	Cluster	Trend	OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
RS	RSC1	Transient Enrichment	4112169	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	787350	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	4464810	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	4483428	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	1110625	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	833324	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	unclassified
RS	RSC1	Transient Enrichment	565862	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	240137	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	580173	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	224648	Bacteria	Actinobacteria	MB-A2-108	0319-7L14	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	1032653	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	4314930	Bacteria	Gemmatimonadetes	Gemmatimonadetes	unclassified	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	106874	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	105839	Bacteria	Gemmatimonadetes	Gemmatimonadetes	unclassified	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	546371	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	217798	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	957362	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	327290	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Pseudonocardia	unclassified
