term	sumsq	meansq	NumDF	DenDF	statistic	p.value
Treatment	0.00992849828920036	0.00330949942973345	3	153.000000177578	26.930087592913	4.83679963062107e-14
TimeFctr	0.0749936259471208	0.00624946882892673	12	153.000000166455	50.8532322018653	3.53945888443447e-47
Treatment:TimeFctr	0.0150973729378586	0.000419371470496072	36	153.000000181731	3.41251318340234	7.24553011141914e-08
