term	sumsq	meansq	NumDF	DenDF	statistic	p.value
Treatment	13887.546317538	4629.18210584601	3	204.999999912721	67.293204055784	2.47652177504414e-30
TimeFctr	175578.257663259	14631.5214719383	12	204.999999948986	212.69458352358	1.4976392684029e-108
Treatment:TimeFctr	15830.1380054229	439.726055706192	36	204.999999928433	6.39218214334516	1.28136171777482e-18
