Compartment	OTU_ID	Trend	Kingdom	Phylum	Class	Order	Family	Genus	Species
RS	3116297	Late Colonizer	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified	unclassified	unclassified
RS	3288891	Late Colonizer	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified
RS	335316	Late Colonizer	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	unclassified	unclassified
RS	338196	Complex	Bacteria	Acidobacteria	Acidobacteria-6	iii1-15	unclassified	unclassified	unclassified
RS	3430519	Late Colonizer	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Anaeromyxobacter	unclassified
RS	353729	Late Colonizer	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Anaeromyxobacter	unclassified
RS	356083	Early Colonizer	Bacteria	Acidobacteria	Solibacteres	Solibacterales	unclassified	unclassified	unclassified
RS	369022	Late Colonizer	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified	unclassified
RS	4276843	Early Colonizer	Bacteria	BRC1	PRR-11	unclassified	unclassified	unclassified	unclassified
RS	4342317	Early Colonizer	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	unclassified	unclassified	unclassified
RS	4376094	Late Colonizer	Bacteria	Planctomycetes	Phycisphaerae	WD2101	unclassified	unclassified	unclassified
RS	4390466	Late Colonizer	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified
RS	4418945	Late Colonizer	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified
RS	4432483	Late Colonizer	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	unclassified
RS	4444012	Late Colonizer	Bacteria	Chloroflexi	Anaerolineae	S0208	unclassified	unclassified	unclassified
RS	510182	Complex	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	unclassified	unclassified
RS	512654	Late Colonizer	Bacteria	OP3	PBS-25	unclassified	unclassified	unclassified	unclassified
RS	527719	Late Colonizer	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified
RS	530591	Late Colonizer	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified	unclassified
RS	531901	Late Colonizer	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified	unclassified
RS	539366	Late Colonizer	Bacteria	Chloroflexi	Anaerolineae	pLW-97	unclassified	unclassified	unclassified
RS	542613	Late Colonizer	Bacteria	Acidobacteria	BPC102	B110	unclassified	unclassified	unclassified
RS	549954	Complex	Bacteria	Chloroflexi	Thermomicrobia	JG30-KF-CM45	unclassified	unclassified	unclassified
RS	553562	Early Colonizer	Bacteria	Verrucomicrobia	[Spartobacteria]	[Chthoniobacterales]	[Chthoniobacteraceae]	unclassified	unclassified
RS	560806	Complex	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified	unclassified	unclassified
RS	565312	Late Colonizer	Bacteria	Gemmatimonadetes	Gemmatimonadetes	unclassified	unclassified	unclassified	unclassified
RS	565822	Late Colonizer	Bacteria	Firmicutes	Clostridia	OPB54	unclassified	unclassified	unclassified
RS	56717	Late Colonizer	Archaea	Crenarchaeota	MCG	pGrfC26	unclassified	unclassified	unclassified
RS	585878	Late Colonizer	Bacteria	WS3	PRR-12	Sediment-1	unclassified	unclassified	unclassified
RS	586320	Early Colonizer	Bacteria	Verrucomicrobia	[Spartobacteria]	[Chthoniobacterales]	[Chthoniobacteraceae]	OR-59	unclassified
RS	592301	Late Colonizer	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	unclassified
RS	641612	Complex	Bacteria	Acidobacteria	Acidobacteria-6	iii1-15	unclassified	unclassified	unclassified
RS	654742	Early Colonizer	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Kaistobacter	unclassified
RS	722016	Early Colonizer	Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	unclassified	unclassified
RS	745157	Late Colonizer	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified	unclassified
RS	791077	Late Colonizer	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Koribacteraceae	unclassified	unclassified
RS	806959	Early Colonizer	Bacteria	Acidobacteria	Solibacteres	Solibacterales	unclassified	unclassified	unclassified
RS	812105	Late Colonizer	Bacteria	WS3	PRR-12	Sediment-1	PRR-10	unclassified	unclassified
RS	909520	Late Colonizer	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Anaeromyxobacter	unclassified
RS	915265	Early Colonizer	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter	unclassified
RS	927060	Early Colonizer	Bacteria	Planctomycetes	BD7-11	unclassified	unclassified	unclassified	unclassified
