term	sumsq	meansq	NumDF	DenDF	statistic	p.value
Treatment	700.253437473119	233.41781249104	3	153.000000013056	53.9411180665773	7.60836757318163e-24
TimeFctr	2841.46445673077	236.788704727564	12	153.000000001194	54.7201061574157	4.15482694511323e-49
Treatment:TimeFctr	2557.0715548077	71.0297654113249	36	153.000000016619	16.4144497860061	1.15519384146769e-36
